Genes	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45
Gene60	0	0	0	0	0	0	1	1	0	1	0	0	1	2	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0
Gene61	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene62	2	3	3	3	3	3	2	1	1	2	1	1	1	1	1	2	1	0	1	1	1	0	1	2	2	2	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1
Gene63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene66	7	9	10	12	6	8	44	49	42	20	47	52	22	50	26	51	53	46	26	22	16	25	29	11	21	23	16	20	18	23	14	13	13	9	7	9	12	27	16	15	13	12	10	11	14
Gene67	7	13	13	15	9	5	2	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene68	3	2	3	3	5	4	2	0	1	1	0	1	1	1	1	1	2	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1
Gene69	0	0	0	0	0	0	5	3	5	4	4	8	10	5	6	4	5	4	2	3	6	3	2	11	7	2	2	1	1	1	1	4	3	1	3	2	4	2	1	2	2	2	2	2	1
Gene70	53	41	51	52	56	42	16	22	18	16	17	18	17	24	18	15	29	17	19	19	18	3	20	18	12	20	23	17	17	16	20	16	14	28	25	23	17	15	19	20	24	30	25	14	15
Gene71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene72	7	8	6	8	9	7	7	5	1	7	4	4	3	3	4	4	4	5	3	3	3	1	3	5	2	4	3	4	3	2	5	2	2	5	4	3	1	2	3	3	3	2	2	2	2
Gene73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene74	13	8	10	9	8	13	0	1	0	2	2	1	1	2	5	2	0	0	1	2	1	0	5	1	2	5	6	23	5	4	4	5	5	21	11	4	5	6	2	5	6	2	7	9	5
Gene75	16	20	14	26	14	17	14	1	2	4	1	6	1	6	0	4	1	9	3	5	5	2	4	8	10	8	7	7	4	4	8	4	6	12	9	8	5	2	6	4	15	2	2	6	7
Gene76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene77	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Gene78	1	0	0	1	0	1	6	1	5	6	3	3	7	5	6	6	5	3	1	3	3	1	3	7	7	2	2	1	1	2	1	2	2	1	1	1	5	2	1	1	1	2	2	3	2
Gene79	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene80	96	84	80	80	91	94	36	15	16	31	18	16	33	17	12	26	17	10	19	20	8	2	20	10	10	28	26	32	31	28	36	14	14	26	20	23	28	19	20	21	24	19	22	29	26
Gene81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene82	253	270	242	255	264	254	82	32	36	64	35	33	82	34	22	54	41	29	36	39	14	5	54	18	16	62	64	64	76	65	73	31	29	54	35	39	41	51	35	41	58	42	42	47	40
Gene83	1	0	0	0	0	1	4	3	3	4	2	2	4	3	3	4	3	2	4	2	3	0	1	5	2	2	1	1	1	1	1	1	1	0	1	1	2	2	1	0	1	1	1	2	2
Gene84	74	85	83	80	80	82	33	13	22	24	23	13	31	21	15	26	19	20	17	13	8	2	20	11	10	21	22	19	22	19	27	10	10	15	15	12	19	13	16	14	15	14	12	18	15
Gene85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene86	41	42	43	37	37	41	22	11	13	17	13	16	25	10	17	21	14	19	12	13	13	4	13	22	11	12	15	16	13	14	15	6	7	14	8	12	24	12	10	12	12	10	13	15	13
Gene87	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene89	2	2	4	3	1	4	2	6	20	2	14	6	2	10	5	2	19	11	18	23	14	10	27	9	8	10	12	8	12	14	1	38	43	8	7	10	11	71	13	7	20	18	3	9	19
Gene90	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene91	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1
Gene92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene94	1	1	1	1	2	1	4	4	7	4	3	8	6	5	7	4	6	5	3	5	6	3	3	9	7	3	2	2	1	1	2	4	4	3	3	3	5	3	2	2	1	3	4	2	3
Gene95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene96	493	532	507	536	568	416	246	107	156	216	151	81	225	164	133	94	316	220	221	216	148	14	206	172	93	333	316	338	160	191	220	428	361	539	455	316	301	223	523	524	530	449	418	451	401
Gene97	58	59	52	57	61	61	15	8	10	15	6	16	18	8	8	26	12	11	10	7	11	4	14	10	13	13	16	13	13	13	14	3	6	12	13	9	19	11	10	10	11	10	8	12	10
Gene98	696	710	679	660	709	693	246	291	273	238	344	225	247	296	180	294	278	260	230	245	151	36	277	134	147	159	159	165	187	189	218	91	100	185	147	142	165	112	166	162	152	168	161	146	150
Gene99	1	1	1	1	1	1	9	3	8	8	4	6	9	5	7	8	6	5	6	6	6	1	3	8	7	4	3	3	3	2	2	3	3	3	2	2	5	5	2	3	3	4	4	5	5
Gene100	0	0	0	0	0	0	2	4	4	2	2	7	3	2	3	3	2	2	3	2	3	5	2	4	3	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	0	2	1	0	1
Gene101	0	1	1	1	1	0	0	0	1	1	1	4	1	1	1	1	0	1	1	1	0	0	0	2	0	1	1	0	1	0	1	1	1	1	0	1	1	2	1	0	1	0	1	2	1
Gene102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene103	8	8	6	8	8	7	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	2	1	1	1	0	0	2	1	1	1	1	2	0	2	1	1	2	2
Gene104	3	3	3	3	3	4	9	6	6	4	7	9	6	9	7	7	12	11	6	6	7	1	8	9	8	3	2	5	3	2	3	4	2	4	3	2	4	3	5	6	6	4	3	4	4
Gene105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene107	1	1	1	1	1	1	1	1	0	1	2	4	1	1	1	4	1	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Gene108	0	0	0	0	0	0	1	1	1	1	1	1	2	1	2	1	2	1	0	0	1	0	0	3	1	1	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0
Gene109	56	52	51	54	53	56	102	78	101	100	102	58	81	96	79	107	66	115	91	93	148	12	90	112	112	50	49	54	71	63	75	43	29	72	65	80	100	47	52	50	48	40	62	56	65
Gene110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene111	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene112	27	28	27	30	29	27	10	5	3	5	4	2	6	3	4	6	6	5	6	7	2	1	6	2	1	9	9	12	11	10	10	11	6	14	9	9	9	11	8	11	10	6	11	12	11
Gene113	9	8	8	8	10	9	4	3	2	3	3	2	2	4	2	2	4	3	4	5	3	1	6	3	2	5	5	5	3	4	4	3	1	6	5	6	3	4	7	6	8	5	3	5	5
Gene114	35	31	31	33	33	37	55	84	75	58	69	66	49	56	85	66	62	69	52	64	108	29	66	100	107	27	27	27	29	29	36	15	16	27	19	33	33	19	27	29	21	15	34	25	30
Gene115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene116	25	25	24	29	28	27	21	16	22	24	19	16	27	16	15	29	15	22	19	17	21	4	18	20	22	17	13	20	15	13	15	8	5	13	9	9	23	10	14	17	19	14	15	17	17
Gene117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene118	2	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1
Gene119	16	17	16	14	16	17	27	37	47	25	49	32	36	47	29	31	57	46	25	28	18	4	37	24	23	14	13	16	15	17	18	17	15	15	11	13	6	23	15	12	20	14	15	13	13
Gene120	28	30	31	29	27	28	24	23	23	23	20	21	26	17	21	24	25	26	20	26	18	5	26	22	18	17	19	19	17	16	19	10	10	25	18	18	18	15	19	21	19	15	21	18	18
