Gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45
Gene63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene66	6.65	8.53	9.87	11.69	5.66	8.09	43.68	48.62	42.48	20.07	46.53	52.4	21.59	49.95	26.21	50.57	52.68	45.73	25.79	22.22	16.11	25.24	29.08	11.05	21.37	22.6	16.21	19.5	17.83	22.81	14.17	13.44	13.14	9.41	6.93	9.45	12.49	27.01	15.53	14.58	12.83	11.91	9.96	10.93	14.01
Gene67	6.91	13.01	12.84	14.99	8.8	4.74	1.87	0.72	0.51	1.47	0.73	0.84	0.83	1.05	0.51	1.09	0.43	0.46	0.26	0.16	0.11	0.07	0.37	0.19	0.18	0.4	0.3	0.61	0	0.22	0.16	0.08	0	0.29	0.22	0.49	0.21	0.06	0.24	0.24	0.21	0.23	0.08	0.27	0
Gene68	3.39	2.5	2.7	2.98	5.09	4.5	1.8	0.35	1.03	1.25	0.36	1.17	1.07	1.04	0.59	0.66	1.91	0.65	1	1.5	0.37	0.06	1.23	1.48	0.87	1	1.1	0.73	0.99	0.57	0.88	0.57	0.99	1.24	0.95	1.19	1.47	0.76	1.15	0.75	0.78	2.62	0.81	1.28	0.62
Gene69	0	0.05	0.14	0.13	0	0.17	5.04	3.14	5.05	3.78	3.64	7.81	10.09	4.63	5.98	3.85	4.85	4.47	1.84	2.85	5.68	2.59	2.19	10.77	7.18	1.82	1.56	1.12	0.51	1.37	0.65	3.62	3.03	1.09	2.68	1.65	3.65	2.22	1.05	1.53	1.87	2.14	2.38	1.91	1.29
Gene70	52.69	41.36	51.16	52.1	56.15	41.67	16.13	21.81	17.68	16.3	16.87	17.66	16.91	23.77	18.28	14.94	28.98	17.23	18.69	19.46	18.2	2.63	19.55	17.77	12.45	19.63	23.05	17.37	16.63	16.44	20.01	15.86	14.02	28.18	25.45	23.34	16.86	15.32	18.52	19.82	24.48	30.1	24.89	13.67	15.44
Gene71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene72	6.8	7.64	6.27	8.44	8.71	7.24	6.65	5.42	0.86	6.97	3.88	4.41	2.77	3.38	4.27	3.85	4.22	5.4	2.65	3.08	2.69	0.77	2.87	4.81	1.87	4.16	3.21	3.77	2.86	2.49	5.43	2.29	1.73	5.08	3.64	2.7	1.49	1.55	3.24	3.38	2.57	1.92	2.35	1.89	2.37
Gene73	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0.05	0	0	0	0	0	0.11	0.25	0	0.05	0.07	0	0	0.21	0.12	0.07	0	0.08	0	0
Gene74	13.03	8.32	9.75	9.18	8.14	13.44	0.49	0.92	0.43	1.77	2.04	0.58	0.94	2.26	4.55	2.4	0	0	1.3	2.05	0.76	0.18	5.01	1.21	1.58	4.51	5.64	22.99	4.93	3.71	4.15	4.77	4.76	20.6	11.22	3.61	5.18	6.22	2.29	5.49	5.96	1.87	6.97	9.32	4.88
Gene75	15.79	20.3	13.86	25.72	14.16	16.75	13.52	0.71	1.61	4.38	1.19	6.11	0.98	5.98	0.37	3.56	0.66	8.76	3.34	4.51	5.35	2.47	4.1	7.56	9.72	7.67	7.42	6.58	3.91	4.27	8.08	4.26	5.74	12.2	9.49	8.32	4.94	2.31	6.16	3.61	15.11	1.81	1.89	6.35	6.52
Gene76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25
Gene77	0	0	0	0.24	0	0	0	2.11	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0.25	0	0	1.87	0	0	0	0	0	0.19	0	0	0	0	0.79	0	0.43	0	0	0	0	0.85	0.48	0.46
Gene78	1.13	0.1	0.44	0.58	0.31	0.6	6.37	1.37	5.22	6.47	2.77	3.33	7.17	4.63	5.69	5.67	4.85	2.72	1.49	3.42	3.24	1.28	2.52	7.38	6.67	2.23	2.06	1.12	1.33	1.67	0.95	2.15	2.42	1.36	1.45	1.1	5.45	2.12	0.77	1.38	1.35	1.77	1.97	2.74	2.43
Gene79	0.53	0.46	0	0.13	0.2	0	0.17	0.16	0.08	2.2	0	0.14	1.5	0.17	0	0	0.28	0	0	0.11	0	0	0	0.69	0.08	0.05	0.81	0.15	0.05	0.13	0	0.47	0.13	0.13	0.14	0	0	0.22	0.06	0.06	0.22	0.08	0.22	0.06	0
Gene80	95.69	84.44	79.88	79.98	91.3	94.45	36.43	15.28	16.42	31.03	17.71	16.01	32.68	17.16	12.06	26.08	16.56	10.45	18.7	19.6	7.94	2.15	20.4	10.14	9.9	28.4	25.7	32.27	30.72	28.08	36.07	14.12	14.25	25.61	20.01	23.11	27.86	18.97	20.15	21.13	23.82	19.29	22.01	29.05	25.52
Gene81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene82	253.26	269.74	242.33	255.12	264.31	254.42	82.26	31.74	35.99	64.18	35.25	32.84	81.51	34.17	22.38	54.33	41.06	28.63	35.85	38.71	14.4	4.79	54.48	18.19	15.94	62.45	63.68	64.31	75.59	64.81	72.78	30.52	29.22	54.04	35.08	38.51	41.01	51.14	35.35	40.64	58.26	41.97	42.1	47.34	40.47
Gene83	0.55	0.33	0.24	0.49	0.14	0.6	3.83	2.97	2.78	3.74	1.65	1.63	3.7	2.84	3.07	3.97	2.85	2.01	3.51	1.91	3.22	0.3	1.44	5.48	2.01	1.56	1.05	0.71	1.36	0.75	0.88	1.12	1.03	0.42	0.73	0.53	1.51	1.94	0.93	0.45	0.89	1.37	1.15	2.02	2.22
Gene84	74.1	85.09	83.33	79.58	80.28	82.34	33.25	13.15	21.53	24.3	23.41	12.85	31.19	20.79	15.17	25.84	19.11	19.98	17.45	13.15	7.61	2.33	20.07	11.07	9.69	20.52	22.22	18.99	21.62	19.13	26.65	10.42	9.98	14.53	14.85	12	19.17	13.02	15.7	13.53	15.29	13.87	12.33	18.12	15.18
Gene85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene86	40.7	41.57	42.97	37.06	37.18	41.03	21.84	11.05	12.97	17.29	13.2	15.87	24.88	10.15	17.38	21.4	13.62	19.25	12.14	12.8	13.49	4.42	12.52	22.12	11.2	11.85	15.22	16.24	13.45	13.54	15.06	6.31	6.54	13.53	7.82	11.72	24.24	11.89	9.64	11.62	12.38	10.28	12.52	15.07	13.15
Gene87	0.41	0	0.83	0.68	0.62	0.17	0.1	0	0	0.35	0.46	0	0.26	0	0	0	0	0	0.36	0	0	0	0	0	0	0.08	0	0.61	0	0	0.51	0	0	0	0	0	0	0	0.11	0.2	0	0	0	0	0
Gene88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene89	1.57	1.74	3.59	2.8	1.4	3.81	2.26	5.95	19.61	1.82	14.49	5.6	2.5	9.53	4.57	2.48	19.3	11.48	17.6	23.12	13.59	10.01	27.3	9.18	8.11	10.31	12.1	7.74	12.08	13.67	1.26	37.72	42.94	7.66	6.76	10.5	10.52	71.33	13.26	7.27	20.46	18.13	3.27	9.49	18.62
Gene90	0	0.2	0.07	0.06	0	0.09	0.42	0.28	0.08	0.68	0.44	0.28	0.38	0.38	0.32	0.11	0.11	0.11	0	0	0.45	0	0	0.13	0.08	0.07	0	0.05	0.2	0.13	0.08	0.31	0	0.07	0.07	0	0.36	0	0	0.03	0.17	0	0.07	0	0.18
Gene91	0.53	0.14	0.2	0.33	0.4	0.31	0.97	0.21	0.5	0.27	0.48	0.46	0.68	0.49	0.68	0.59	0.72	0.27	0.28	0.35	0.24	0.13	0.19	0.36	0.69	0.05	0.25	0.31	0.18	0.14	0.19	0.08	0.38	0.72	1.03	0.2	0.16	0.05	0.17	0.36	0.1	0.2	1.15	1.34	0.88
Gene92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene93	0	0	0	0	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene94	1.28	1.26	1.14	0.96	1.62	1.28	3.53	4.07	6.74	3.61	2.71	8.22	6.25	5.09	7.28	3.71	5.87	4.58	2.77	5.34	5.58	2.64	3.33	8.75	6.85	2.58	2.01	2.44	1.48	1.32	1.88	4.09	4.16	2.6	2.69	2.8	5.16	2.94	1.87	2.46	1.47	2.99	3.91	2.37	2.89
Gene95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene96	493	531.7	506.92	535.93	567.9	416.08	246.32	107.28	156.17	215.56	151.22	81	224.79	163.61	132.91	94.16	315.97	219.51	220.72	216.42	147.86	14.4	205.57	171.66	92.67	333.37	315.99	338.3	160.11	191.33	220.4	427.52	360.81	538.89	455.1	315.91	300.77	222.94	522.98	524.05	529.55	449.08	417.68	450.93	400.79
Gene97	57.71	58.81	52.46	57.13	61.44	60.53	15.45	7.63	9.7	14.88	6.13	15.85	18.16	7.7	8.3	26.28	11.79	10.89	10.49	7.39	11.45	4.02	14.29	10.37	13.11	12.91	15.63	12.68	12.62	13.17	13.84	3.08	5.7	12.22	12.59	9.05	18.56	11.17	10.23	10.43	11.22	9.63	8.28	11.7	9.64
Gene98	696.49	709.91	679.11	659.62	708.51	693.36	246.03	291.37	273.43	237.91	343.88	224.87	246.57	296.04	180.39	294.1	278.3	259.51	230.4	244.82	150.76	36.17	276.71	133.89	147.2	158.53	158.9	165.11	187.24	189.22	218.5	91.11	99.86	184.67	146.72	141.73	165.07	112.06	166.07	161.97	152.18	168.17	161.28	146.15	150.17
Gene99	0.73	1.24	0.74	1.41	1.42	1.23	9.48	2.6	7.95	7.61	4.27	6.02	9.28	4.87	6.62	7.73	5.77	4.77	5.75	6.27	6.19	1.09	3.24	7.75	6.54	4.05	2.67	3.09	2.65	2.43	1.73	3.49	3.4	2.99	2.2	2.3	5.08	5.33	1.67	2.78	3.45	4.5	3.61	5.06	5.31
Gene100	0.34	0.09	0	0.13	0.11	0.13	2.24	3.76	3.96	2.11	2.43	6.61	2.78	1.74	3.25	2.75	1.78	2.38	2.59	2.22	3.28	5.18	1.59	3.54	2.6	0.23	0.76	0.47	0.71	0.38	0.57	1.38	0.47	1.31	0.69	0.64	1.04	1.09	0.74	1.04	0.28	1.68	0.78	0.31	0.55
Gene101	0.44	0.68	0.6	1.11	1.03	0.37	0.43	0.4	0.56	1.3	0.77	4.37	1.47	1.27	0.93	0.94	0.31	0.81	1.1	1.48	0.49	0.47	0.33	1.77	0.35	0.57	0.56	0.22	0.85	0.39	0.79	0.58	1.11	1.33	0.3	1.39	0.64	1.55	1.01	0.37	0.65	0	1.03	1.71	1.32
Gene102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene103	8.22	8.47	5.6	7.74	8.12	6.81	0.5	0.29	0.33	0.61	0.26	0.67	0.27	0.18	0.08	0.4	0.15	0	0.43	0.36	0.65	0.11	0.54	0.18	0.09	1.46	1.68	1.87	1.07	1.06	1.08	0.4	0.25	1.73	1.01	1.21	1.39	1.13	1.65	0.47	1.54	0.62	1.25	1.73	1.67
Gene104	3.17	2.84	2.68	3.25	2.79	3.96	8.6	5.89	6.04	4.31	6.76	8.88	5.66	8.71	7.03	6.84	12.26	10.61	6.32	5.66	7.16	1.12	7.78	8.67	7.53	3.28	2.12	4.84	2.67	2.34	2.79	4.29	2.46	4.38	2.85	2.27	4.11	3.19	5.4	5.87	6.08	3.57	3.34	4.05	3.78
Gene105	0.18	0.06	0.07	0.06	0.2	0.17	0.06	0.32	0.08	0.12	0.13	0	0	0.4	0.14	0.16	0.28	0.07	0.06	0.06	0.33	0.03	0.06	0.6	0.24	0.14	0.05	0.1	0.1	0.17	0.05	0	0	0.06	0.2	0.13	0.05	0.33	0	0.19	0.05	0.33	0.07	0.24	0
Gene106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0.74	0	0	0	0	0.29	0	0	0	0	0	0	0	0
Gene107	1.15	1.27	0.79	0.97	0.96	0.81	0.56	0.94	0.15	0.73	1.78	4	1.13	1.22	0.81	3.6	1.49	0.93	0.67	0.22	0.52	0	0.75	0.5	0.31	0.09	0.84	0.1	0.28	0.51	0.19	0	0.24	0.75	0.13	0.39	0.31	0	0.36	0	0.1	0.16	0.7	0.36	0.35
Gene108	0	0.24	0	0.23	0	0.31	0.67	0.9	1.43	1.17	0.57	1.34	2.13	1.01	1.67	0.57	1.97	0.9	0.44	0.48	1.14	0.24	0.31	2.53	0.9	0.8	0.71	0.73	0	0.34	0.2	2.39	0.12	0.36	1	0	0.1	0.31	0.11	0	0	0.46	0.91	1.01	0.37
Gene109	55.56	52.46	51.02	54.08	52.88	55.73	102.46	77.6	100.69	99.8	102.4	58.39	80.58	96.17	79.42	107.12	66.05	114.84	91.18	93.47	148.41	11.85	89.82	112.09	112.16	49.72	48.84	54.03	71.21	62.62	74.97	43.48	29.05	72.12	64.98	79.56	100.24	47.35	52.06	50.17	47.62	39.54	61.78	55.82	64.77
Gene110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene111	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0.62	0	0.13	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.05	0	0	0	0.12	0	0.16	0	0	0	0	0.06	0	0	0.07	0
Gene112	27.44	27.93	26.94	29.54	29.41	26.62	10.13	4.51	2.59	5.25	4.32	1.97	6.39	3.08	3.77	6.43	5.84	4.88	5.88	7.13	2.43	0.57	6.1	1.6	1.32	9.2	9.38	11.68	10.94	10.01	10.44	10.84	6.05	13.84	9.33	9.33	9.42	10.95	7.6	10.89	9.75	6.47	11.34	11.96	11.46
Gene113	8.67	8.38	8.42	8.12	10.4	9.08	3.56	2.56	2.15	2.53	2.63	1.83	2.31	4.01	2.29	2.29	4.38	2.78	4.24	4.8	2.66	0.91	5.83	3.35	2.45	5.4	5.05	4.98	3.04	3.77	4.49	3.49	1.22	6.14	5.09	5.89	2.97	3.85	7.04	6.07	7.54	4.72	3.38	5.16	5.43
Gene114	35.02	30.7	31.1	32.57	32.73	37.48	54.99	84.1	75.4	58.01	68.78	66.24	49.05	56.12	84.94	65.98	62.14	68.89	52.5	63.71	107.58	28.59	65.51	99.96	107.15	26.69	27.4	27.17	28.58	29.39	35.54	14.88	16.12	26.93	19.41	33.47	32.55	19.37	27.39	29.07	21.17	15.02	33.78	25.1	30.05
Gene115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene116	25.43	25.25	23.78	28.96	28.28	27.38	20.82	16.13	21.86	23.91	19	15.58	27.48	15.64	15.3	28.74	15.13	22.27	18.95	17.01	21.45	3.95	17.65	19.52	22.43	16.79	13.49	19.51	14.95	12.63	15.48	8	4.97	13.25	9.41	9.47	23.15	10.12	13.71	16.85	18.78	13.87	14.51	17.26	17.17
Gene117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene118	2.12	1.43	1.48	1.53	1.57	1.39	0.41	0	0.35	0.11	0.11	0	0.44	0.48	0.06	0.19	0.53	0	0.44	0.1	0	0	0.05	0	0	0.46	0.19	0.53	0.43	0.42	0.07	0.31	0.82	0.9	0.71	0.77	0.05	0.63	0.71	0.57	1.23	0.82	1.02	1.18	0.59
Gene119	15.59	17.07	15.84	14	15.99	17.4	27.17	36.54	47.23	24.51	49.25	31.59	35.75	46.88	29.07	30.69	57.36	45.97	25.27	28.07	17.56	3.78	36.62	23.73	22.68	13.53	13.07	15.95	15.38	16.92	17.53	16.6	15.45	15.12	11.35	12.79	5.79	23.23	15.39	12.45	20.06	14	14.69	12.84	13.44
Gene120	28.19	29.98	31.49	28.99	27.44	28.04	23.99	23.29	23.25	23.16	20.11	20.59	25.94	17.03	21.41	23.85	25.41	26.31	20.15	25.76	17.96	5.01	25.59	22.28	17.58	17.45	18.84	19.02	17.23	16.38	19.24	10.41	10.49	25.28	18.33	17.77	17.57	14.8	19.23	20.6	18.66	15.13	20.86	18.19	18.43
Gene121	120.29	129.67	138.01	121.77	111.71	132.01	95.55	105.45	120.41	96.72	121.59	124.24	89.88	110.06	157.38	103.69	117.78	138.13	104.75	108.06	136.42	30.23	104.71	137.23	124.69	64.45	60.34	62.38	61.76	53.82	73.47	46.4	31.22	80.78	58.12	64.41	58.36	58.87	65.55	74.08	69.69	46.78	84.79	70.6	72.28
Gene122	28.83	23.31	24.46	22.08	28.69	22.01	8.88	4.71	8.16	15.08	10.91	7.69	11.71	8.76	8.15	5.11	28.59	16.03	15.95	20.26	8.01	2.63	13.54	7.67	10.81	16.19	15.41	13.5	20.68	18.36	20.59	18.87	18.25	54.55	34.7	40.59	20.08	17.73	39.57	29.79	36.05	24.11	59.29	48.48	47.22
Gene123	119.91	124.62	132.46	128.78	121.45	119.88	66.12	42.25	58.88	65.5	65.5	56	59.4	54.67	52.95	53.17	56.41	64.08	42.66	48.62	49.99	27.38	53.46	41.13	50.87	39.59	36.3	39.14	42.72	39.4	46.29	22.22	19.22	41.19	27.8	30.59	42.62	29.74	34.85	39.69	39.03	29.94	40.79	40.74	44.88
Gene124	0.2	0	0	0	0	0	0.19	0	0.25	0	0	1.14	0.6	0.38	0	0.18	0	0	0.38	0.19	0.89	0	0.37	0.28	0	0.48	0	0.66	0.48	0.49	0.2	0	0	0.21	0.45	0.22	0.54	0.36	0	0	0	0.29	0	0.4	0
